system:index,NDSI,NDVI,NDWI,label,subregion,.geo
2_00000000000000000297_0,-0.18565026,0.09818896,-0.14501266,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002ba_0,-0.16711767,0.20402215,-0.20823991,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002bd_0,-0.19706006,0.13811827,-0.15958788,1,Unknown,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002be_0,-0.16568081,0.13817482,-0.17739403,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002ce_0,-0.11826393,0.0713097,-0.09140835,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d0_0,-0.14751899,0.20904368,-0.2167541,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d1_0,-0.14713942,0.16312234,-0.16123468,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d2_0,-0.107618436,0.1843476,-0.17863415,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d3_0,-0.26751298,0.16105635,-0.19605337,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d5_0,-0.22358559,0.17104436,-0.20148717,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002d7_0,-0.23226956,0.17887174,-0.20769884,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002dc_0,-0.23222429,0.14870013,-0.1939436,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002dd_0,-0.23225771,0.12628983,-0.17689647,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002de_0,-0.18064041,0.18081708,-0.19595818,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002e2_0,-0.2127972,0.22920765,-0.2511667,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002e3_0,-0.1662739,0.10697382,-0.14897679,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002e4_0,-0.1458012,0.22058688,-0.21799096,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002e5_0,-0.16327892,0.15005122,-0.16747086,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002e6_0,-0.1736126,0.093392074,-0.1571037,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002ea_0,-0.21266763,0.16297323,-0.19620875,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002ed_0,-0.11871401,0.24693015,-0.24129067,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002ee_0,-0.18914194,0.15578158,-0.17877005,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002ef_0,-0.18645456,0.1205935,-0.14952628,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002f0_0,-0.21199776,0.1408531,-0.16940738,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002f2_0,-0.22034252,0.14690432,-0.18122749,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002f4_0,-0.21659133,0.09324808,-0.14503525,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002f5_0,-0.19311242,0.10580431,-0.16291378,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000002f7_0,-0.21229851,0.18230405,-0.2040738,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000030c_0,-0.18950579,0.1529083,-0.1861899,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000311_0,-0.19751471,0.17642878,-0.19406651,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000319_0,-0.16084252,0.17668803,-0.18531905,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000325_0,-0.17395124,0.11676478,-0.1518522,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000329_0,-0.123192735,0.20023175,-0.19433057,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000032c_0,-0.14292184,0.23162776,-0.23537317,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000331_0,-0.19690065,0.10687427,-0.14959507,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000337_0,-0.25187132,0.08917875,-0.1619326,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000338_0,-0.146646,0.16442837,-0.2025152,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
